CHARGING_STATION,build_year,sta_overnight_cost,sta_fixed_om
Chongqing-Ev,2023,1000,0
Henan-Ev,2023,1000,0
Hubei-Ev,2023,1000,0
Hunan-Ev,2023,1000,0
Jiangxi-Ev,2023,1000,0
Sichuan-Ev,2023,1000,0
Anhui-Ev,2023,1000,0
Fujian-Ev,2023,1000,0
Jiangsu-Ev,2023,1000,0
Shanghai-Ev,2023,1000,0
Zhejiang-Ev,2023,1000,0
Beijing-Ev,2023,1000,0
Hebei-Ev,2023,1000,0
Shandong-Ev,2023,1000,0
Shanxi-Ev,2023,1000,0
Tianjin-Ev,2023,1000,0
West_Inner_Mongolia-Ev,2023,1000,0
East_Inner_Mongolia-Ev,2023,1000,0
Heilongjiang-Ev,2023,1000,0
Jilin-Ev,2023,1000,0
Liaoning-Ev,2023,1000,0
Gansu-Ev,2023,1000,0
Ningxia-Ev,2023,1000,0
Qinghai-Ev,2023,1000,0
Shaanxi-Ev,2023,1000,0
Xinjiang-Ev,2023,1000,0
Guangdong-Ev,2023,1000,0
Guangxi-Ev,2023,1000,0
Guizhou-Ev,2023,1000,0
Hainan-Ev,2023,1000,0
Yunnan-Ev,2023,1000,0
Tibet-Ev,2023,1000,0
