STORAGE_PROJECT,build_year,str_overnight_cost,str_fixed_om,str_storage_energy_overnight_cost
Anhui-Battery_Storage-11177-1,2023,621396,9320,0
Anhui-Battery_Storage-11177-2,2023,621396,9320,0
Anhui-Battery_Storage-11177-3,2023,621396,9320,0
Beijing-Battery_Storage-11182-1,2023,621396,9320,0
Beijing-Battery_Storage-11182-2,2023,621396,9320,0
Beijing-Battery_Storage-11182-3,2023,621396,9320,0
Chongqing-Battery_Storage-11171-1,2023,621396,9320,0
Chongqing-Battery_Storage-11171-2,2023,621396,9320,0
Chongqing-Battery_Storage-11171-3,2023,621396,9320,0
East_Inner_Mongolia-Battery_Storage-11188-1,2023,621396,9320,0
East_Inner_Mongolia-Battery_Storage-11188-2,2023,621396,9320,0
East_Inner_Mongolia-Battery_Storage-11188-3,2023,621396,9320,0
Fujian-Battery_Storage-11178-1,2023,621396,9320,0
Fujian-Battery_Storage-11178-2,2023,621396,9320,0
Fujian-Battery_Storage-11178-3,2023,621396,9320,0
Gansu-Battery_Storage-11192-1,2023,621396,9320,0
Gansu-Battery_Storage-11192-2,2023,621396,9320,0
Gansu-Battery_Storage-11192-3,2023,621396,9320,0
Guangdong-Battery_Storage-11197-1,2023,621396,9320,0
Guangdong-Battery_Storage-11197-2,2023,621396,9320,0
Guangdong-Battery_Storage-11197-3,2023,621396,9320,0
Guangxi-Battery_Storage-11198-1,2023,621396,9320,0
Guangxi-Battery_Storage-11198-2,2023,621396,9320,0
Guangxi-Battery_Storage-11198-3,2023,621396,9320,0
Guizhou-Battery_Storage-11199-1,2023,621396,9320,0
Guizhou-Battery_Storage-11199-2,2023,621396,9320,0
Guizhou-Battery_Storage-11199-3,2023,621396,9320,0
Hainan-Battery_Storage-11200-1,2023,621396,9320,0
Hainan-Battery_Storage-11200-2,2023,621396,9320,0
Hainan-Battery_Storage-11200-3,2023,621396,9320,0
Hebei-Battery_Storage-11183-1,2023,621396,9320,0
Hebei-Battery_Storage-11183-2,2023,621396,9320,0
Hebei-Battery_Storage-11183-3,2023,621396,9320,0
Heilongjiang-Battery_Storage-11189-1,2023,621396,9320,0
Heilongjiang-Battery_Storage-11189-2,2023,621396,9320,0
Heilongjiang-Battery_Storage-11189-3,2023,621396,9320,0
Henan-Battery_Storage-11172-1,2023,621396,9320,0
Henan-Battery_Storage-11172-2,2023,621396,9320,0
Henan-Battery_Storage-11172-3,2023,621396,9320,0
Hubei-Battery_Storage-11173-1,2023,621396,9320,0
Hubei-Battery_Storage-11173-2,2023,621396,9320,0
Hubei-Battery_Storage-11173-3,2023,621396,9320,0
Hunan-Battery_Storage-11174-1,2023,621396,9320,0
Hunan-Battery_Storage-11174-2,2023,621396,9320,0
Hunan-Battery_Storage-11174-3,2023,621396,9320,0
Jiangsu-Battery_Storage-11179-1,2023,621396,9320,0
Jiangsu-Battery_Storage-11179-2,2023,621396,9320,0
Jiangsu-Battery_Storage-11179-3,2023,621396,9320,0
Jiangxi-Battery_Storage-11175-1,2023,621396,9320,0
Jiangxi-Battery_Storage-11175-2,2023,621396,9320,0
Jiangxi-Battery_Storage-11175-3,2023,621396,9320,0
Jilin-Battery_Storage-11190-1,2023,621396,9320,0
Jilin-Battery_Storage-11190-2,2023,621396,9320,0
Jilin-Battery_Storage-11190-3,2023,621396,9320,0
Liaoning-Battery_Storage-11191-1,2023,621396,9320,0
Liaoning-Battery_Storage-11191-2,2023,621396,9320,0
Liaoning-Battery_Storage-11191-3,2023,621396,9320,0
Ningxia-Battery_Storage-11193-1,2023,621396,9320,0
Ningxia-Battery_Storage-11193-2,2023,621396,9320,0
Ningxia-Battery_Storage-11193-3,2023,621396,9320,0
Qinghai-Battery_Storage-11194-1,2023,621396,9320,0
Qinghai-Battery_Storage-11194-2,2023,621396,9320,0
Qinghai-Battery_Storage-11194-3,2023,621396,9320,0
Shaanxi-Battery_Storage-11195-1,2023,621396,9320,0
Shaanxi-Battery_Storage-11195-2,2023,621396,9320,0
Shaanxi-Battery_Storage-11195-3,2023,621396,9320,0
Shandong-Battery_Storage-11184-1,2023,621396,9320,0
Shandong-Battery_Storage-11184-2,2023,621396,9320,0
Shandong-Battery_Storage-11184-3,2023,621396,9320,0
Shanghai-Battery_Storage-11180-1,2023,621396,9320,0
Shanghai-Battery_Storage-11180-2,2023,621396,9320,0
Shanghai-Battery_Storage-11180-3,2023,621396,9320,0
Shanxi-Battery_Storage-11185-1,2023,621396,9320,0
Shanxi-Battery_Storage-11185-2,2023,621396,9320,0
Shanxi-Battery_Storage-11185-3,2023,621396,9320,0
Sichuan-Battery_Storage-11176-1,2023,621396,9320,0
Sichuan-Battery_Storage-11176-2,2023,621396,9320,0
Sichuan-Battery_Storage-11176-3,2023,621396,9320,0
Tianjin-Battery_Storage-11186-1,2023,621396,9320,0
Tianjin-Battery_Storage-11186-2,2023,621396,9320,0
Tianjin-Battery_Storage-11186-3,2023,621396,9320,0
Tibet-Battery_Storage-11202-1,2023,621396,9320,0
Tibet-Battery_Storage-11202-2,2023,621396,9320,0
Tibet-Battery_Storage-11202-3,2023,621396,9320,0
West_Inner_Mongolia-Battery_Storage-11187-1,2023,621396,9320,0
West_Inner_Mongolia-Battery_Storage-11187-2,2023,621396,9320,0
West_Inner_Mongolia-Battery_Storage-11187-3,2023,621396,9320,0
Xinjiang-Battery_Storage-11196-1,2023,621396,9320,0
Xinjiang-Battery_Storage-11196-2,2023,621396,9320,0
Xinjiang-Battery_Storage-11196-3,2023,621396,9320,0
Yunnan-Battery_Storage-11201-1,2023,621396,9320,0
Yunnan-Battery_Storage-11201-2,2023,621396,9320,0
Yunnan-Battery_Storage-11201-3,2023,621396,9320,0
Zhejiang-Battery_Storage-11181-1,2023,621396,9320,0
Zhejiang-Battery_Storage-11181-2,2023,621396,9320,0
Zhejiang-Battery_Storage-11181-3,2023,621396,9320,0
AnhuiBattery_Storage-11177-1-1,2022,621396,9320,0
AnhuiBattery_Storage-11177-2-1,2022,621396,9320,0
AnhuiBattery_Storage-11177-3-1,2022,621396,9320,0
ChongqingBattery_Storage-11177-1-3,2022,621396,9320,0
ChongqingBattery_Storage-11177-2-3,2022,621396,9320,0
ChongqingBattery_Storage-11177-3-3,2022,621396,9320,0
FujianBattery_Storage-11177-1-4,2022,621396,9320,0
FujianBattery_Storage-11177-2-4,2022,621396,9320,0
FujianBattery_Storage-11177-3-4,2022,621396,9320,0
GansuBattery_Storage-11177-1-5,2022,621396,9320,0
GansuBattery_Storage-11177-2-5,2022,621396,9320,0
GansuBattery_Storage-11177-3-5,2022,621396,9320,0
GuangdongBattery_Storage-11177-1-6,2022,621396,9320,0
GuangdongBattery_Storage-11177-2-6,2022,621396,9320,0
GuangdongBattery_Storage-11177-3-6,2022,621396,9320,0
GuangxiBattery_Storage-11177-1-7,2022,621396,9320,0
GuangxiBattery_Storage-11177-2-7,2022,621396,9320,0
GuangxiBattery_Storage-11177-3-7,2022,621396,9320,0
GuizhouBattery_Storage-11177-1-8,2022,621396,9320,0
GuizhouBattery_Storage-11177-2-8,2022,621396,9320,0
GuizhouBattery_Storage-11177-3-8,2022,621396,9320,0
HebeiBattery_Storage-11177-1-10,2022,621396,9320,0
HebeiBattery_Storage-11177-2-10,2022,621396,9320,0
HebeiBattery_Storage-11177-3-10,2022,621396,9320,0
HubeiBattery_Storage-11177-1-13,2022,621396,9320,0
HubeiBattery_Storage-11177-2-13,2022,621396,9320,0
HubeiBattery_Storage-11177-3-13,2022,621396,9320,0
HunanBattery_Storage-11177-1-14,2022,621396,9320,0
HunanBattery_Storage-11177-2-14,2022,621396,9320,0
HunanBattery_Storage-11177-3-14,2022,621396,9320,0
JiangsuBattery_Storage-11177-1-15,2022,621396,9320,0
JiangsuBattery_Storage-11177-2-15,2022,621396,9320,0
JiangsuBattery_Storage-11177-3-15,2022,621396,9320,0
JiangxiBattery_Storage-11177-1-16,2022,621396,9320,0
JiangxiBattery_Storage-11177-2-16,2022,621396,9320,0
JiangxiBattery_Storage-11177-3-16,2022,621396,9320,0
NingxiaBattery_Storage-11177-1-19,2022,621396,9320,0
NingxiaBattery_Storage-11177-2-19,2022,621396,9320,0
NingxiaBattery_Storage-11177-3-19,2022,621396,9320,0
QinghaiBattery_Storage-11177-1-20,2022,621396,9320,0
QinghaiBattery_Storage-11177-2-20,2022,621396,9320,0
QinghaiBattery_Storage-11177-3-20,2022,621396,9320,0
ShandongBattery_Storage-11177-1-22,2022,621396,9320,0
ShandongBattery_Storage-11177-2-22,2022,621396,9320,0
ShandongBattery_Storage-11177-3-22,2022,621396,9320,0
ShanxiBattery_Storage-11177-1-24,2022,621396,9320,0
ShanxiBattery_Storage-11177-2-24,2022,621396,9320,0
ShanxiBattery_Storage-11177-3-24,2022,621396,9320,0
West_Inner_MongoliaBattery_Storage-11177-1-28,2022,621396,9320,0
West_Inner_MongoliaBattery_Storage-11177-2-28,2022,621396,9320,0
West_Inner_MongoliaBattery_Storage-11177-3-28,2022,621396,9320,0
XinjiangBattery_Storage-11177-1-29,2022,621396,9320,0
XinjiangBattery_Storage-11177-2-29,2022,621396,9320,0
XinjiangBattery_Storage-11177-3-29,2022,621396,9320,0
ZhejiangBattery_Storage-11177-1-31,2022,621396,9320,0
ZhejiangBattery_Storage-11177-2-31,2022,621396,9320,0
ZhejiangBattery_Storage-11177-3-31,2022,621396,9320,0
