BuildLocalTD_index_1,BuildLocalTD_index_2,BuildLocalTD
Chongqing,2023,13781.262252370328
Henan,2023,35686.129141024714
Hubei,2023,23542.390959833476
Hunan,2023,19665.752116961776
Jiangxi,2023,10821.945059427773
Sichuan,2023,22316.201129447836
Anhui,2023,14427.249203989972
Fujian,2023,18327.672160149632
Jiangsu,2023,41991.73250367053
Shanghai,2023,17940.929662224076
Zhejiang,2023,38118.53460314583
Beijing,2023,7689.953309634849
Hebei,2023,58215.55956690023
Shandong,2023,33127.10294681533
Shanxi,2023,18619.97536672133
Tianjin,2023,8843.827879400844
West_Inner_Mongolia,2023,13473.662757929145
East_Inner_Mongolia,2023,5381.840856803855
Heilongjiang,2023,9863.334943309717
Jilin,2023,8553.301069449684
Liaoning,2023,19026.973142985218
Gansu,2023,9236.529279066739
Ningxia,2023,5115.138727524498
Qinghai,2023,2986.0206950164734
Shaanxi,2023,13748.07491806357
Xinjiang,2023,14425.219718555229
Guangdong,2023,49526.31355130783
Guangxi,2023,13584.101396484053
Guizhou,2023,18924.96753759609
Hainan,2023,2941.1127581994506
Yunnan,2023,12770.821719197469
Tibet,2023,1431.149306421948
