timepoints,variable_cost
2025.01.22.00,-5.77458e-10
2025.01.22.04,2.96041e-10
2025.01.22.08,0
2025.01.22.12,1.61748e-10
2025.01.22.16,0
2025.01.22.20,0
2025.02.08.00,0
2025.02.08.04,-2.24418e-10
2025.02.08.08,2.84323e-10
2025.02.08.12,-1.12477e-09
2025.02.08.16,-9.00059e-10
2025.02.08.20,2.72166e-10
2025.03.21.00,-3.03203e-10
2025.03.21.04,0
2025.03.21.08,1.77415e-10
2025.03.21.12,7.15332e-10
2025.03.21.16,6.29832e-10
2025.03.21.20,1.09821e-10
2025.04.11.00,-2.75747e-10
2025.04.11.04,3.0559e-10
2025.04.11.08,-1.71298e-10
2025.04.11.12,-4.38092e-10
2025.04.11.16,1.67418e-10
2025.04.11.20,1.92272e-10
2025.05.22.00,0
2025.05.22.04,-1.45633e-10
2025.05.22.08,-1.50408e-10
2025.05.22.12,0
2025.05.22.16,5.59851e-10
2025.05.22.20,-6.66087e-10
2025.06.16.00,-1.59361e-10
2025.06.16.04,2.30405e-10
2025.06.16.08,0
2025.06.16.12,0
2025.06.16.16,5.17772e-10
2025.06.16.20,0
2025.07.22.00,0
2025.07.22.04,-1.28921e-10
2025.07.22.08,0
2025.07.22.12,-1.94575e-10
2025.07.22.16,0
2025.07.22.20,0
2025.08.19.00,0
2025.08.19.04,0
2025.08.19.08,-1.69806e-10
2025.08.19.12,0
2025.08.19.16,3.18423e-10
2025.08.19.20,2.67391e-10
2025.09.20.00,0
2025.09.20.04,1.81444e-10
2025.09.20.08,-1.32577e-10
2025.09.20.12,3.81913e-10
2025.09.20.16,3.35135e-10
2025.09.20.20,1.16984e-10
2025.10.26.00,-1.21759e-10
2025.10.26.04,0
2025.10.26.08,2.34564e-10
2025.10.26.12,0
2025.10.26.16,0
2025.10.26.20,-1.28921e-10
2025.11.19.00,0
2025.11.19.04,-1.66821e-10
2025.11.19.08,-1.39308e-09
2025.11.19.12,-5.2971e-10
2025.11.19.16,1.02342e-10
2025.11.19.20,0
2025.12.16.00,-3.84375e-10
2025.12.16.04,-1.09105e-09
2025.12.16.08,2.95891e-10
2025.12.16.12,3.62292e-10
2025.12.16.16,1.64807e-10
2025.12.16.20,-8.04562e-10
